"","block","plot","transect","subtransect","subsubtransect","time","date","slope_percent","litter_cm","duff_cm","fuel_cm","x1h_count","x10h_count","x100h_count","sum_d2_1000r_cm2","sum_d2_1000s_cm2","litter_mgha","duff_mgha","x1h_mgha","x10h_mgha","x100h_mgha","x1000h_mgha","fines_mgha","total_mgha","treatment","planting","followup"
"60","E1","E1:CH","E1:CH:M","E1:CH:M:1","E1:CH:M:1:3","pre",2017-06-29,18,0.25,0,4,0,0,1,0,3128,0.9075,0,0,0,2.46049124488592,62.6733165026159,3.36799124488592,66.0413077475018,"CH","C","H"
"61","E1","E1:CH","E1:CH:M","E1:CH:M:2","E1:CH:M:2:13","post",2019-07-29,16,0,0,0,9,2,0,0,100,0,0,0.268764488134196,0.620008871633757,0,1.9970132241493,0.888773359767952,2.88578658391725,"CH","C","H"
"62","E1","E1:CH","E1:CH:M","E1:CH:M:2","E1:CH:M:2:13","pre",2017-06-29,16,3,0.75,3,0,2,0,0,2423,10.89,13.125,0,0.620008871633757,0,48.3876304211375,11.5100088716338,73.0226392927712,"CH","C","H"
"63","E1","E1:CH","E1:CH:M","E1:CH:M:2","E1:CH:M:2:23","post",2019-07-29,16,1.5,0,1.5,52,11,1,0,100,5.445,0,1.55286148699757,3.41004879398566,2.45237472889841,1.9970132241493,12.8602850098816,14.8572982340309,"CH","C","H"
"64","E1","E1:CH","E1:CH:M","E1:CH:M:2","E1:CH:M:2:23","pre",2017-06-29,16,1,0.75,1.5,0,1,0,0,2423,3.63,13.125,0,0.310004435816878,0,48.3876304211375,3.94000443581688,65.4526348569544,"CH","C","H"
"65","E1","E1:CH","E1:CH:M","E1:CH:M:2","E1:CH:M:2:3","post",2019-07-29,16,1.5,0,1.5,38,5,2,0,100,5.445,0,1.13478339434438,1.55002217908439,4.90474945779681,1.9970132241493,13.0345550312256,15.0315682553749,"CH","C","H"
"66","E1","E1:CH","E1:CH:M","E1:CH:M:2","E1:CH:M:2:3","pre",2017-06-29,16,2,0,3.5,0,2,0,0,2423,7.26,0,0,0.620008871633757,0,48.3876304211375,7.88000887163376,56.2676392927712,"CH","C","H"
"67","E1","E1:CH","E1:CH:M","E1:CH:M:3","E1:CH:M:3:13","post",2019-07-29,29,0,0,0,10,4,2,625,268.96,0,0,0.307025920074604,1.27489249811494,5.04269259277002,15.3512713347577,6.62461101095957,21.9758823457173,"CH","C","H"
"68","E1","E1:CH","E1:CH:M","E1:CH:M:3","E1:CH:M:3:13","pre",2017-06-29,29,0.5,0,4.5,2,5,4,0,5343,1.815,0,0.0614051840149209,1.59361562264368,10.08538518554,109.701301747232,13.5554059921986,123.256707739431,"CH","C","H"
"69","E1","E1:CH","E1:CH:M","E1:CH:M:3","E1:CH:M:3:23","post",2019-07-29,29,3,0,18.5,74,7,0,625,268.96,10.89,0,2.27199180855207,2.23106187170115,0,15.3512713347577,15.3930536802532,30.7443250150109,"CH","C","H"
"70","E1","E1:CH","E1:CH:M","E1:CH:M:3","E1:CH:M:3:23","pre",2017-06-29,29,0.5,0,0.5,1,1,0,0,5343,1.815,0,0.0307025920074604,0.318723124528736,0,109.701301747232,2.1644257165362,111.865727463768,"CH","C","H"
"71","E1","E1:CH","E1:CH:M","E1:CH:M:3","E1:CH:M:3:3","post",2019-07-29,29,0,0,4,9,0,0,625,268.96,0,0,0.276323328067144,0,0,15.3512713347577,0.276323328067144,15.6275946628249,"CH","C","H"
"72","E1","E1:CH","E1:CH:M","E1:CH:M:3","E1:CH:M:3:3","pre",2017-06-29,29,1.5,0,2.5,0,3,0,0,5343,5.445,0,0,0.956169373586206,0,109.701301747232,6.40116937358621,116.102471120818,"CH","C","H"
"73","E1","E1:CH","E1:CH:N","E1:CH:N:1","E1:CH:N:1:13","post",2019-07-29,29,1.5,0,1.5,4,1,0,0,0,5.445,0,0.122810368029842,0.318723124528736,0,0,5.88653349255858,5.88653349255858,"CH","C","H"
"74","E1","E1:CH","E1:CH:N","E1:CH:N:1","E1:CH:N:1:13","pre",2017-06-29,29,1.5,1,1.5,0,5,0,0,4164,5.445,17.5,0,1.59361562264368,0,85.4943328608413,7.03861562264368,110.032948483485,"CH","C","H"
"75","E1","E1:CH","E1:CH:N","E1:CH:N:1","E1:CH:N:1:23","post",2019-07-29,29,1.5,0,1.5,14,4,1,0,0,5.445,0,0.429836288104446,1.27489249811494,2.52134629638501,0,9.6710750826044,9.6710750826044,"CH","C","H"
"76","E1","E1:CH","E1:CH:N","E1:CH:N:1","E1:CH:N:1:23","pre",2017-06-29,29,1,2,1,1,10,4,0,4164,3.63,35,0.0307025920074604,3.18723124528736,10.08538518554,85.4943328608413,16.9333190228349,137.427651883676,"CH","C","H"
"77","E1","E1:CH","E1:CH:N","E1:CH:N:1","E1:CH:N:1:3","post",2019-07-29,29,1.5,0,14,32,5,3,0,0,5.445,0,0.982482944238734,1.59361562264368,7.56403888915503,0,15.5851374560374,15.5851374560374,"CH","C","H"
"78","E1","E1:CH","E1:CH:N","E1:CH:N:1","E1:CH:N:1:3","pre",2017-06-29,29,2,0,2,1,0,1,0,4164,7.26,0,0.0307025920074604,0,2.52134629638501,85.4943328608413,9.81204888839247,95.3063817492337,"CH","C","H"
"79","E1","E1:CH","E1:CH:N","E1:CH:N:2","E1:CH:N:2:13","post",2019-07-29,23,0.5,0,0.5,11,3,0,0,625,1.815,0,0.332833182209695,0.942309825664992,0,12.6463592511464,3.09014300787469,15.736502259021,"CH","C","H"
"80","E1","E1:CH","E1:CH:N","E1:CH:N:2","E1:CH:N:2:13","pre",2017-06-29,23,0.25,0,4,0,3,0,361,1298,0.9075,0,0,0.942309825664992,0,31.8589234826666,1.84980982566499,33.7087333083316,"CH","C","H"
"81","E1","E1:CH","E1:CH:N","E1:CH:N:2","E1:CH:N:2:23","post",2019-07-29,23,2,0,2,6,2,1,0,625,7.26,0,0.181545372114379,0.628206550443328,2.48479971710098,12.6463592511464,10.5545516396587,23.200910890805,"CH","C","H"
"82","E1","E1:CH","E1:CH:N","E1:CH:N:2","E1:CH:N:2:23","pre",2017-06-29,23,0.5,0,4,6,3,1,361,1298,1.815,0,0.181545372114379,0.942309825664992,2.48479971710098,31.8589234826666,5.42365491488036,37.282578397547,"CH","C","H"
"83","E1","E1:CH","E1:CH:N","E1:CH:N:2","E1:CH:N:2:3","post",2019-07-29,23,0.5,0,0.5,7,2,1,0,625,1.815,0,0.211802934133442,0.628206550443328,2.48479971710098,12.6463592511464,5.13980920167776,17.7861684528241,"CH","C","H"
"84","E1","E1:CH","E1:CH:N","E1:CH:N:2","E1:CH:N:2:3","pre",2017-06-29,23,1,0,8.5,0,1,0,361,1298,3.63,0,0,0.314103275221664,0,31.8589234826666,3.94410327522166,35.8030267578883,"CH","C","H"
"85","E1","E1:CH","E1:CH:N","E1:CH:N:3","E1:CH:N:3:13","post",2019-07-29,30,1,0,1,7,2,1,522,450,3.63,0,0.215502175274237,0.639178483036352,2.52819795130271,17.4959340525205,7.0128786096133,24.5088126621338,"CH","C","H"
"86","E1","E1:CH","E1:CH:N","E1:CH:N:3","E1:CH:N:3:13","pre",2017-06-29,30,1.25,0,1.25,0,3,3,0,3087,4.5375,0,0,0.958767724554528,7.58459385390813,63.5538424652284,13.0808615784627,76.6347040436911,"CH","C","H"
"87","E1","E1:CH","E1:CH:N","E1:CH:N:3","E1:CH:N:3:23","post",2019-07-29,30,0,0,0,20,9,4,522,450,0,0,0.615720500783535,2.87630317366358,10.1127918052108,17.4959340525205,13.604815479658,31.1007495321785,"CH","C","H"
"88","E1","E1:CH","E1:CH:N","E1:CH:N:3","E1:CH:N:3:23","pre",2017-06-29,30,1.25,0,1.25,0,2,2,0,3087,4.5375,0,0,0.639178483036352,5.05639590260542,63.5538424652284,10.2330743856418,73.7869168508702,"CH","C","H"
"89","E1","E1:CH","E1:CH:N","E1:CH:N:3","E1:CH:N:3:3","post",2019-07-29,30,0,0,0,67,4,2,522,450,0,0,2.06266367762484,1.2783569660727,5.05639590260542,17.4959340525205,8.39741654630296,25.8933505988235,"CH","C","H"
"90","E1","E1:CH","E1:CH:N","E1:CH:N:3","E1:CH:N:3:3","pre",2017-06-29,30,4,0,4,2,6,3,0,3087,14.52,0,0.0615720500783535,1.91753544910906,7.58459385390813,63.5538424652284,24.0837013530955,87.6375438183239,"CH","C","H"
"91","E1","E1:CH","E1:CH:S","E1:CH:S:1","E1:CH:S:1:13","post",2019-07-30,20,1.5,0,1.5,28,11,2,0,3833,5.445,0,0.842005775219098,3.43390484788765,4.9390621537463,77.0810147841667,14.6599727768531,91.7409875610198,"CH","C","H"
"92","E1","E1:CH","E1:CH:S","E1:CH:S:1","E1:CH:S:1:13","pre",2017-06-29,20,0.75,0,0.75,2,6,0,2653,5011,2.7225,0,0.060143269658507,1.87303900793872,0,141.635311038677,4.65568227759723,146.290993316275,"CH","C","H"
"93","E1","E1:CH","E1:CH:S","E1:CH:S:1","E1:CH:S:1:23","post",2019-07-30,20,2,0.5,3.5,33,2,2,0,3833,7.26,8.75,0.992363949365365,0.624346335979573,4.9390621537463,77.0810147841667,13.8157724390912,99.6467872232579,"CH","C","H"
"94","E1","E1:CH","E1:CH:S","E1:CH:S:1","E1:CH:S:1:23","pre",2017-06-29,20,1.5,0,1.5,1,3,3,2653,5011,5.445,0,0.0300716348292535,0.93651950396936,7.40859323061945,141.635311038677,13.8201843694181,155.455495408096,"CH","C","H"
"95","E1","E1:CH","E1:CH:S","E1:CH:S:1","E1:CH:S:1:3","post",2019-07-30,20,1,0,1,8,8,1,0,3833,3.63,0,0.240573078634028,2.49738534391829,2.46953107687315,77.0810147841667,8.83748949942547,85.9185042835922,"CH","C","H"
