"block","plot","transect","subtransect","location_m","date","litter_cm","duff_cm","fuel_cm"
"E1","E1:CN","E1:CN:S","E1:CN:S:3",13,"2017-06-28",0.5,0.5,6
"E1","E1:CN","E1:CN:S","E1:CN:S:3",17,"2017-06-28",2.5,0.5,5
"E1","E1:CN","E1:CN:S","E1:CN:S:3",23,"2017-06-28",0.5,0,4
"E1","E1:CN","E1:CN:S","E1:CN:S:3",27,"2017-06-28",2,0,5
"E1","E1:EG","E1:EG:M","E1:EG:M:1",3,"2017-07-11",1,1,1
"E1","E1:EG","E1:EG:M","E1:EG:M:1",7,"2017-07-11",1.5,1,1.5
"E1","E1:EG","E1:EG:M","E1:EG:M:1",13,"2017-07-11",0.5,0,0.5
"E1","E1:EG","E1:EG:M","E1:EG:M:1",17,"2017-07-11",1,0,1
"E1","E1:EG","E1:EG:M","E1:EG:M:1",23,"2017-07-11",0,0,0
"E1","E1:EG","E1:EG:M","E1:EG:M:1",27,"2017-07-11",0,0,0
"E1","E1:EG","E1:EG:M","E1:EG:M:2",3,"2017-07-11",1,3,1
"E1","E1:EG","E1:EG:M","E1:EG:M:2",7,"2017-07-11",2,1,2
"E1","E1:EG","E1:EG:M","E1:EG:M:2",13,"2017-07-11",0,0,2
"E1","E1:EG","E1:EG:M","E1:EG:M:2",17,"2017-07-11",1,2,1
"E1","E1:EG","E1:EG:M","E1:EG:M:2",23,"2017-07-11",0,0,4
"E1","E1:EG","E1:EG:M","E1:EG:M:2",27,"2017-07-11",0,0,0
"E1","E1:EG","E1:EG:M","E1:EG:M:3",3,"2017-07-11",0,0,0
"E1","E1:EG","E1:EG:M","E1:EG:M:3",7,"2017-07-11",0,0,0
"E1","E1:EG","E1:EG:M","E1:EG:M:3",13,"2017-07-11",0.5,0,0.5
"E1","E1:EG","E1:EG:M","E1:EG:M:3",17,"2017-07-11",1,0,1
"E1","E1:EG","E1:EG:M","E1:EG:M:3",23,"2017-07-11",1,0,1
"E1","E1:EG","E1:EG:M","E1:EG:M:3",27,"2017-07-11",0.5,0,0.5
"E1","E1:EG","E1:EG:N","E1:EG:N:1",3,"2017-07-10",1.5,0.5,3
"E1","E1:EG","E1:EG:N","E1:EG:N:1",7,"2017-07-10",1,0,1
"E1","E1:EG","E1:EG:N","E1:EG:N:1",13,"2017-07-10",5,0.5,8
"E1","E1:EG","E1:EG:N","E1:EG:N:1",17,"2017-07-10",1,0,1.5
"E1","E1:EG","E1:EG:N","E1:EG:N:1",23,"2017-07-10",1,0,1
"E1","E1:EG","E1:EG:N","E1:EG:N:1",27,"2017-07-10",1,0,1.5
"E1","E1:EG","E1:EG:N","E1:EG:N:2",3,"2017-07-10",2,1,7
"E1","E1:EG","E1:EG:N","E1:EG:N:2",7,"2017-07-10",1,0,1
"E1","E1:EG","E1:EG:N","E1:EG:N:2",13,"2017-07-10",1.5,0,2
"E1","E1:EG","E1:EG:N","E1:EG:N:2",17,"2017-07-10",1,3,2.5
"E1","E1:EG","E1:EG:N","E1:EG:N:2",23,"2017-07-10",2,6,3
"E1","E1:EG","E1:EG:N","E1:EG:N:2",27,"2017-07-10",1,4,1
"E1","E1:EG","E1:EG:N","E1:EG:N:3",3,"2017-07-10",0,0,0
"E1","E1:EG","E1:EG:N","E1:EG:N:3",7,"2017-07-10",0.5,0,1
"E1","E1:EG","E1:EG:N","E1:EG:N:3",13,"2017-07-10",0,0,0
"E1","E1:EG","E1:EG:N","E1:EG:N:3",17,"2017-07-10",0,0,0
"E1","E1:EG","E1:EG:N","E1:EG:N:3",23,"2017-07-10",0.5,0,1.5
"E1","E1:EG","E1:EG:N","E1:EG:N:3",27,"2017-07-10",0.5,0,0.5
"E1","E1:EG","E1:EG:S","E1:EG:S:1",3,"2017-07-11",0,0,0
"E1","E1:EG","E1:EG:S","E1:EG:S:1",7,"2017-07-11",1.5,0,1.5
"E1","E1:EG","E1:EG:S","E1:EG:S:1",13,"2017-07-11",1,1,1
"E1","E1:EG","E1:EG:S","E1:EG:S:1",17,"2017-07-11",1.5,0,1.5
"E1","E1:EG","E1:EG:S","E1:EG:S:1",23,"2017-07-11",1,0.5,1
"E1","E1:EG","E1:EG:S","E1:EG:S:1",27,"2017-07-11",1,0,1
"E1","E1:EG","E1:EG:S","E1:EG:S:2",3,"2017-07-11",1,0,1
"E1","E1:EG","E1:EG:S","E1:EG:S:2",7,"2017-07-11",1,0.5,1
"E1","E1:EG","E1:EG:S","E1:EG:S:2",13,"2017-07-11",1,0,1
"E1","E1:EG","E1:EG:S","E1:EG:S:2",17,"2017-07-11",0.5,0,1
"E1","E1:EG","E1:EG:S","E1:EG:S:2",23,"2017-07-11",0,0,0
"E1","E1:EG","E1:EG:S","E1:EG:S:2",27,"2017-07-11",2,1,2
"E1","E1:EG","E1:EG:S","E1:EG:S:3",3,"2017-07-11",0,0,0
"E1","E1:EG","E1:EG:S","E1:EG:S:3",7,"2017-07-11",1,0,1
"E1","E1:EG","E1:EG:S","E1:EG:S:3",13,"2017-07-11",2,0,2
"E1","E1:EG","E1:EG:S","E1:EG:S:3",17,"2017-07-11",0,0,0
"E1","E1:EG","E1:EG:S","E1:EG:S:3",23,"2017-07-11",0,0,0
"E1","E1:EG","E1:EG:S","E1:EG:S:3",27,"2017-07-11",1,0,1
"E1","E1:EH","E1:EH:M","E1:EH:M:1",3,"2017-07-04",0,0,5
"E1","E1:EH","E1:EH:M","E1:EH:M:1",7,"2017-07-04",2,2,2
"E1","E1:EH","E1:EH:M","E1:EH:M:1",13,"2017-07-04",1,0,1
"E1","E1:EH","E1:EH:M","E1:EH:M:1",17,"2017-07-04",2,0,2
"E1","E1:EH","E1:EH:M","E1:EH:M:1",23,"2017-07-04",1,0,1
"E1","E1:EH","E1:EH:M","E1:EH:M:1",27,"2017-07-04",2,0,2
"E1","E1:EH","E1:EH:M","E1:EH:M:2",3,"2017-07-04",2,1,2
"E1","E1:EH","E1:EH:M","E1:EH:M:2",7,"2017-07-04",2,0,2
"E1","E1:EH","E1:EH:M","E1:EH:M:2",13,"2017-07-04",3,1,3
"E1","E1:EH","E1:EH:M","E1:EH:M:2",17,"2017-07-04",0,0,0
"E1","E1:EH","E1:EH:M","E1:EH:M:2",23,"2017-07-04",1,0,1
"E1","E1:EH","E1:EH:M","E1:EH:M:2",27,"2017-07-04",2,0,1
"E1","E1:EH","E1:EH:M","E1:EH:M:3",3,"2017-07-04",1.5,0,1.5
"E1","E1:EH","E1:EH:M","E1:EH:M:3",7,"2017-07-04",0.5,0,0.5
"E1","E1:EH","E1:EH:M","E1:EH:M:3",13,"2017-07-04",0.5,0,0.5
"E1","E1:EH","E1:EH:M","E1:EH:M:3",17,"2017-07-04",0,0,0
"E1","E1:EH","E1:EH:M","E1:EH:M:3",23,"2017-07-04",1,0.5,1
"E1","E1:EH","E1:EH:M","E1:EH:M:3",27,"2017-07-04",1,1,1
"E1","E1:EH","E1:EH:N","E1:EH:N:1",3,"2017-07-04",1,0.5,7
"E1","E1:EH","E1:EH:N","E1:EH:N:1",7,"2017-07-04",0.5,0,3
"E1","E1:EH","E1:EH:N","E1:EH:N:1",13,"2017-07-04",0.5,0,3
"E1","E1:EH","E1:EH:N","E1:EH:N:1",17,"2017-07-04",1,0,7
"E1","E1:EH","E1:EH:N","E1:EH:N:1",23,"2017-07-04",0.5,0,3
"E1","E1:EH","E1:EH:N","E1:EH:N:1",27,"2017-07-04",0.5,0,4
"E1","E1:EH","E1:EH:N","E1:EH:N:2",3,"2017-07-04",1,0,3
"E1","E1:EH","E1:EH:N","E1:EH:N:2",7,"2017-07-04",3,0,3
"E1","E1:EH","E1:EH:N","E1:EH:N:2",13,"2017-07-04",1,0,1
"E1","E1:EH","E1:EH:N","E1:EH:N:2",17,"2017-07-04",1,0,1
"E1","E1:EH","E1:EH:N","E1:EH:N:2",23,"2017-07-04",4,0,5
"E1","E1:EH","E1:EH:N","E1:EH:N:2",27,"2017-07-04",2,0,2
"E1","E1:EH","E1:EH:N","E1:EH:N:3",3,"2017-07-04",0,0,1
"E1","E1:EH","E1:EH:N","E1:EH:N:3",7,"2017-07-04",1,0,4
"E1","E1:EH","E1:EH:N","E1:EH:N:3",13,"2017-07-04",1.5,0,6
"E1","E1:EH","E1:EH:N","E1:EH:N:3",17,"2017-07-04",0,0,3
"E1","E1:EH","E1:EH:N","E1:EH:N:3",23,"2017-07-04",1,0,4
"E1","E1:EH","E1:EH:N","E1:EH:N:3",27,"2017-07-04",1,0,5
"E1","E1:EH","E1:EH:S","E1:EH:S:1",3,"2017-07-04",2.5,0,2.5
"E1","E1:EH","E1:EH:S","E1:EH:S:1",7,"2017-07-04",0.5,0,0.5
"E1","E1:EH","E1:EH:S","E1:EH:S:1",13,"2017-07-04",0,0,1
"E1","E1:EH","E1:EH:S","E1:EH:S:1",17,"2017-07-04",1,0,1
"E1","E1:EH","E1:EH:S","E1:EH:S:1",23,"2017-07-04",1,1,5
"E1","E1:EH","E1:EH:S","E1:EH:S:1",27,"2017-07-04",1,0,1
"E1","E1:EH","E1:EH:S","E1:EH:S:2",3,"2017-07-04",0,0,0
"E1","E1:EH","E1:EH:S","E1:EH:S:2",7,"2017-07-04",1,0,1
"E1","E1:EH","E1:EH:S","E1:EH:S:2",13,"2017-07-04",0,0,0
"E1","E1:EH","E1:EH:S","E1:EH:S:2",17,"2017-07-04",0,0,0
"E1","E1:EH","E1:EH:S","E1:EH:S:2",23,"2017-07-04",0,0,0
"E1","E1:EH","E1:EH:S","E1:EH:S:2",27,"2017-07-04",1.5,0,1.5
"E1","E1:EH","E1:EH:S","E1:EH:S:3",3,"2017-07-04",1.5,1,1.5
"E1","E1:EH","E1:EH:S","E1:EH:S:3",7,"2017-07-04",0.5,0,0.5
"E1","E1:EH","E1:EH:S","E1:EH:S:3",13,"2017-07-04",2,0,2
"E1","E1:EH","E1:EH:S","E1:EH:S:3",17,"2017-07-04",2,0,2
"E1","E1:EH","E1:EH:S","E1:EH:S:3",23,"2017-07-04",0.5,0,0.5
"E1","E1:EH","E1:EH:S","E1:EH:S:3",27,"2017-07-04",2.5,2,2.5
"E1","E1:EN","E1:EN:M","E1:EN:M:1",3,"2017-06-28",4,0,4
"E1","E1:EN","E1:EN:M","E1:EN:M:1",7,"2017-06-28",5,0,7
"E1","E1:EN","E1:EN:M","E1:EN:M:1",13,"2017-06-28",5.5,0,9
"E1","E1:EN","E1:EN:M","E1:EN:M:1",17,"2017-06-28",4.5,0,6
"E1","E1:EN","E1:EN:M","E1:EN:M:1",23,"2017-06-28",2.5,0,20
"E1","E1:EN","E1:EN:M","E1:EN:M:1",27,"2017-06-28",1,0,1
"E1","E1:EN","E1:EN:M","E1:EN:M:2",3,"2017-06-28",0.5,0,6
"E1","E1:EN","E1:EN:M","E1:EN:M:2",7,"2017-06-28",0.5,0,2
"E1","E1:EN","E1:EN:M","E1:EN:M:2",13,"2017-06-28",0.5,0,3
"E1","E1:EN","E1:EN:M","E1:EN:M:2",17,"2017-06-28",0.5,0,3
"E1","E1:EN","E1:EN:M","E1:EN:M:2",23,"2017-06-28",1,0,4
"E1","E1:EN","E1:EN:M","E1:EN:M:2",27,"2017-06-28",1,0,4
"E1","E1:EN","E1:EN:M","E1:EN:M:3",3,"2017-06-28",3,0,3
"E1","E1:EN","E1:EN:M","E1:EN:M:3",7,"2017-06-28",3,0,5
"E1","E1:EN","E1:EN:M","E1:EN:M:3",13,"2017-06-28",5,0,5
"E1","E1:EN","E1:EN:M","E1:EN:M:3",17,"2017-06-28",3,0,20
"E1","E1:EN","E1:EN:M","E1:EN:M:3",23,"2017-06-28",3,0,8
"E1","E1:EN","E1:EN:M","E1:EN:M:3",27,"2017-06-28",0,0,5
"E1","E1:EN","E1:EN:N","E1:EN:N:1",3,"2017-06-28",1,0.5,1
"E1","E1:EN","E1:EN:N","E1:EN:N:1",7,"2017-06-28",0.5,0,0.5
