"","block","plot","transect","subtransect","subsubtransect","time","date","slope_percent","litter_cm","duff_cm","fuel_cm","x1h_count","x10h_count","x100h_count","sum_d2_1000r_cm2","sum_d2_1000s_cm2"
"116","E1","E1:CN","E1:CN:M","E1:CN:M:2","E1:CN:M:2:13","pre",2017-06-28,10,0.25,0,5,0,0,1,0,4938
"117","E1","E1:CN","E1:CN:M","E1:CN:M:2","E1:CN:M:2:23","post",2019-07-30,10,0.5,0,0.5,7,3,1,0,1156
"118","E1","E1:CN","E1:CN:M","E1:CN:M:2","E1:CN:M:2:23","pre",2017-06-28,10,0.75,0.25,8,3,4,3,0,4938
"119","E1","E1:CN","E1:CN:M","E1:CN:M:2","E1:CN:M:2:3","post",2019-07-30,10,0,0,0,33,8,1,0,1156
"120","E1","E1:CN","E1:CN:M","E1:CN:M:2","E1:CN:M:2:3","pre",2017-06-28,10,1.25,0.5,7.5,2,1,0,0,4938
"121","E1","E1:CN","E1:CN:M","E1:CN:M:3","E1:CN:M:3:13","post",2019-07-30,10,0,0,0,11,0,1,0,740
"122","E1","E1:CN","E1:CN:M","E1:CN:M:3","E1:CN:M:3:13","pre",2017-06-28,10,1.25,0.25,1.25,1,2,0,400,306
"123","E1","E1:CN","E1:CN:M","E1:CN:M:3","E1:CN:M:3:23","post",2019-07-30,10,1,0,1,3,2,2,0,740
"124","E1","E1:CN","E1:CN:M","E1:CN:M:3","E1:CN:M:3:23","pre",2017-06-28,10,0.75,0,0.75,0,0,1,400,306
"125","E1","E1:CN","E1:CN:M","E1:CN:M:3","E1:CN:M:3:3","post",2019-07-30,10,0.5,0,3,8,2,1,0,740
"126","E1","E1:CN","E1:CN:M","E1:CN:M:3","E1:CN:M:3:3","pre",2017-06-28,10,1,2.5,2,0,2,1,400,306
"127","E1","E1:CN","E1:CN:N","E1:CN:N:1","E1:CN:N:1:13","post",2019-07-30,1,0,0,2.5,17,1,1,0,570
"128","E1","E1:CN","E1:CN:N","E1:CN:N:1","E1:CN:N:1:13","pre",2017-06-28,1,3.25,0.5,3.25,1,4,1,0,11172
"129","E1","E1:CN","E1:CN:N","E1:CN:N:1","E1:CN:N:1:23","post",2019-07-30,1,0,0,0,28,1,1,0,570
"130","E1","E1:CN","E1:CN:N","E1:CN:N:1","E1:CN:N:1:23","pre",2017-06-28,1,0.5,0,0.5,4,6,0,0,11172
"131","E1","E1:CN","E1:CN:N","E1:CN:N:1","E1:CN:N:1:3","post",2019-07-30,1,0.5,0,16,25,7,1,0,570
"132","E1","E1:CN","E1:CN:N","E1:CN:N:1","E1:CN:N:1:3","pre",2017-06-28,1,2,4,2,1,2,0,0,11172
"133","E1","E1:CN","E1:CN:N","E1:CN:N:2","E1:CN:N:2:13","post",2019-07-30,6,0.5,0,0.5,22,4,0,0,181
"134","E1","E1:CN","E1:CN:N","E1:CN:N:2","E1:CN:N:2:13","pre",2017-06-28,6,0.75,1.25,2.25,1,8,6,0,3687
"135","E1","E1:CN","E1:CN:N","E1:CN:N:2","E1:CN:N:2:23","post",2019-07-30,6,1,0,2.5,11,2,1,0,181
